Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,,11.71767301,11.79425911,11.8708452,11.9474313,11.9474313,12.00104157,12.01482707,12.01482707,12.03933462,12.05465184,12.1006035,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,11.89382103,11.83867904,,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59488962,22.52189692,22.46715239,22.44890422,22.63868569,,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510689,1.829787264,1.72340426,1.702127685,1.659574407,1.638297832,1.617021256,1.638297832,1.638297832,1.638297832,1.617021256,1.72340426,1.72340426,1.72340426,1.659574407,,
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,,3.142107958,3.135165647,3.146558158,3.171657284,3.204054737,3.185363899,3.202096649,3.183939835,3.196133382,3.212243104,3.308100405,3.270451716,3.271976432,3.302593915,3.299478764,3.33926369,3.320483781,3.338284643,3.328494169,3.318970708,3.345458391,3.357539835,3.338617518,3.376677543,3.399145789,3.423265957,3.46315769,3.470011021,3.480673737,3.527169589,3.586197247,3.655576723,3.735415223,3.685661903,3.65709157,3.666121928,3.637414526,3.639167925,3.623537005,3.544323311,3.526994203,3.556027357,3.586657761,3.530889992,3.533503613,3.477816502,3.471575515,3.389417375,3.348702576,3.370784869,3.37121781,3.406267752,3.439772269,3.505568577,3.52777579,3.51560591,,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,,0.070402703,0.070402703,0.070402703,0.070402703,0.070402703,0.084483244,0.084483244,0.084483244,0.084483244,0.098563785,0.098563785,0.098563785,0.112644326,0.126724866,0.154885948,0.154885948,0.168966488,0.168966488,0.168966488,0.225288651,0.267530273,0.253449732,0.323852436,0.337932977,0.366094058,0.40833568,0.40833568,0.40833568,0.40833568,0.492818924,0.492818924,0.535060546,0.563221628,0.591382709,0.60546325,0.647704872,0.633624331,0.506899465,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475338,0.627992093,0.726555878,0.702619002,0.712475338,0.635032364,0.522388038,0.528020276,0.61954379,0.620951823,0.626584061,,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,9.462891303,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.865932934,9.865932934,9.865932934,9.865932934,9.865932934,9.792851949,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,14.323873,14.323873,,
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797309,15.87987377,15.82016136,15.78503667,15.75342466,15.77801237,15.74991197,15.74288768,15.71829996,15.69020064,15.67966259,,
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.000000238,6.000000238,6.000000238,7.5,10,10,12.00000048,12.5,12.5,12.5,12.5,16.69999957,16.49999976,16.49999976,16.49999976,15,14.80000019,15,15,15,15,15,15,15,15,,
