Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480446.9274,458100.5587,1564245.81,3391061.453,4217877.095,4547486.034,6771959.279,10347512,9832402.235,11955307.26,13184357.54,14748603.35,10558659.22,9720670.391,8645172.626,10903194.97,13810224.58,16327503.35,,
Afghanistan,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308406.5,94761.12,27577849.86,47084262.04,10738034.53,10944020.31,107890.1091,242475.5418,36802.95,180660.3999,
Angola,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,1170000,1660000,5630000,430000,,,2495000,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,
Albania,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517321.15,14478668.94,12142401.22,12695213.14,23369955.64,22607673.51,21875569.24,24570725.86,23157888.57,13126155.65,
Andorra,AND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,22702105.81,28737501.6,36049633.65,31260717.88,32085875.1,37093976.86,26485775.8,15419081.44,13137492,13995057.68,12820700.82,16468463.02,21597085.59,44407963.15,51716893.25,62048627.92,61495810.2,68243385.8,78748999.79,609512999.1,224169818.4,176057689.9,491829384,566753377.6,532460827.8,423152346,402587709.2,220064041.9,210484830.3,164739257.3,289649778.4,264755627.3,513265852.8,385879185.8,392258199.6,435296352.4,422359090.7,590060804.2,611303175,570619632.5,637061825.2,727924944.8,600752277.6,
United Arab Emirates,ARE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,39000000,54000000,71000000,69000000,101000000,254000000,363000000,524000000,446000000,420000000,420000000,280000000,288000000,403000000,409000000,420000000,284000000,319800000,376700000,392000000,482004066.2,544377042.6,590352559.1,582160100.1,580337544.9,564137635.4,351280000,402950000,520630000,650640000,894824121.7,1174682410,1531726727,1526895361,1712212410,2079139111,2216992900,2329270062,2098996166,2178066124,2108388364,2297608490,
Armenia,ARM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
